author_id,id,text,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
819644227,1516538832358981635,RT @froomkin: Great headline: The climate change story that generated way more reader mail than Will Smith's Oscars slap https://t.co/daaoJ…,2022-04-19T22:06:48.000Z,8,0,0,0
47554499,1516537128519233536,RT @froomkin: Great headline: The climate change story that generated way more reader mail than Will Smith's Oscars slap https://t.co/daaoJ…,2022-04-19T22:00:01.000Z,8,0,0,0
1281303947857113088,1516536705578242050,RT @froomkin: Great headline: The climate change story that generated way more reader mail than Will Smith's Oscars slap https://t.co/daaoJ…,2022-04-19T21:58:21.000Z,8,0,0,0
172954545,1516535351250239501,RT @froomkin: Great headline: The climate change story that generated way more reader mail than Will Smith's Oscars slap https://t.co/daaoJ…,2022-04-19T21:52:58.000Z,8,0,0,0
14588748,1516535048413065219,Great headline: The climate change story that generated way more reader mail than Will Smith's Oscars slap https://t.co/daaoJ11zTN,2022-04-19T21:51:46.000Z,8,1,16,0
2707584582,1516533860237910017,'Saturday Night Live' takes on Will Smith's Oscars slap https://t.co/uQIfz5djsK #BreakingNews #news #Twitter #Ukraine️ #UkraineRussiaWar #Trump #Biden,2022-04-19T21:47:02.000Z,0,0,0,0
399129934,1516531745935573000,"After Will Smith assaulted Chris Rock, procedures were so shaken that they didn't present Liza in a directors chair, they forced her out in the wheelchair.💔

Liza Minnelli was ‘sabotaged’ at Oscars 2022, longtime pal claims

https://t.co/wBd3zywZHa",2022-04-19T21:38:38.000Z,2,3,5,0
4860229528,1516531136431902723,"RT @Toastmasters: Darren LaCroix, the 2001 World Champion of Public Speaking was featured in the Forbes article How To Be A Better Speaker…",2022-04-19T21:36:13.000Z,11,0,0,0
21246105,1516529632564154379,The #RedTableTalk season 5 trailer has been released -- is Will Smith going to discuss the Oscars debacle? https://t.co/ELjm0P7aTY https://t.co/wLwJxLcfPy,2022-04-19T21:30:14.000Z,1,0,1,0
20194256,1516528612006105090,"Jada Pinkett Smith's 'Red Table Talk' Lineup Revealed, No Mention Of Will or Slap https://t.co/Y0lLX3xgsl",2022-04-19T21:26:11.000Z,0,0,0,0
996829562,1516528482725072911,"RT @LaLigaenDirecto: 1⃣5⃣ Que alguien pare esto, POR FAVOR. #LaProfecía

Óscars 1977: Sylvester Stallone y Muhammad Ali tienen una 'pelea'…",2022-04-19T21:25:40.000Z,63,0,0,0
48672406,1516525575359414283,"Still no sure what a make eh whole Oscars debacle but defo Agree absolutely wi this article.
https://t.co/bMt9Hnow9b",2022-04-19T21:14:07.000Z,0,0,2,0
80873474,1516524803670171652,"Jada Pinkett Smith's 'Red Table Talk' Lineup Revealed, No Mention Of Will or Slap https://t.co/MtOBxWpAL7 https://t.co/471KhP6kjY",2022-04-19T21:11:03.000Z,0,0,0,0
543361006,1516523004624359429,"RT @TMZ: Jada Pinkett Smith's 'Red Table Talk' is coming back for a new season, but it looks like Will won't be joining her to talk about h…",2022-04-19T21:03:54.000Z,11,0,0,0
488309398,1516522346697347075,"Jada Pinkett Smith's 'Red Table Talk' Lineup Revealed, No Mention Of Will or Slap via @TMZcancel red fake table…… https://t.co/7B09qcREDV",2022-04-19T21:01:17.000Z,0,0,0,0
95596412,1516522050244034584,"""There’s too much reliance on written statements and not enough acknowledgment that multiple apologies are missing from all parties.""

#hollywoodnews #variety #theimagecartel

https://t.co/JPV64kl3M9",2022-04-19T21:00:07.000Z,0,0,0,0
3182894353,1516520201826844672,"Jada Pinkett Smith's 'Red Table Talk' Lineup Revealed, No Mention Of Will or Slap https://t.co/LohjPr4jzG",2022-04-19T20:52:46.000Z,0,0,0,0
64919580,1516518396074070025,"RT @TMZ: Jada Pinkett Smith's 'Red Table Talk' is coming back for a new season, but it looks like Will won't be joining her to talk about h…",2022-04-19T20:45:35.000Z,11,0,0,0
