id,author_id,text,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1516618735766880258,14511951,"Michael Feinstein, a five-time Grammy nominee, alleged that the ""Cabaret"" star was ""forced"" to appear in a wheelchair against her wishes. https://t.co/uFJcxDgtqE",2022-04-20T03:24:18.000Z,5,2,21,5
1516618496922341383,1502286188622880769,https://t.co/tY00GqswGs Gaga has a set 9f pipes I'll give her that bit she thinks her shit doesn't stink and has put herself in a better than thou state of mind ever since that movie A STAR IS BORN.,2022-04-20T03:23:21.000Z,0,0,0,0
1516617611634966530,1238421550165979137,"RT @DiscoverFoshan: 🏆🏆#Foshan's Guicheng reading station recently won a 2022 iF Design Award, one of the most recognized international desi…",2022-04-20T03:19:50.000Z,2,0,0,0
1516617596803731457,2958044465,New Trailer! Jada Pinkett Smith’s ‘Red Table Talk’ Returns Following Oscars Slap https://t.co/T8yGgMPQNA via @extratv,2022-04-20T03:19:47.000Z,0,0,0,0
1516617516222713858,3074675615,"RT @Variety: ""Framing the nominees for best animated feature as a corporate product for kids that parents must begrudgingly endure could be…",2022-04-20T03:19:27.000Z,363,0,0,0
1516615948014338049,20177423,See Kristen Stewart In A See-Through Chanel Gown at the 2022 Vanity Fair #Oscars After-Party https://t.co/zyl7WGjZgQ,2022-04-20T03:13:14.000Z,0,0,13,0
1516615739670548481,713764180,"RT @CineClubUCN: Ciclo de Cine OSCARS 2022 🎥

Mañana proyección de “Los ojos de Tammy Faye” ✨

⏰ 19:30 hrs.
📍 Escuela de Periodismo Univers…",2022-04-20T03:12:24.000Z,1,0,0,0
1516615129881886723,174183339,"This is infuriating and just another thing on a long list you should feel deeply ashamed over @TheAcademy 

https://t.co/SeL5IgmDIB",2022-04-20T03:09:58.000Z,0,0,0,0
1516613683664723968,768288904873062404,"Ciclo de Cine OSCARS 2022 🎥

Mañana proyección de “Los ojos de Tammy Faye” ✨

⏰ 19:30 hrs.
📍 Escuela de Periodismo Universidad Católica del Norte
📌 Gratuita y abierta a todo público

#antofagasta https://t.co/4hMzlcjyvj",2022-04-20T03:04:14.000Z,1,0,2,0
1516612802668081158,147280772,"RT @Phil_Lewis_: Jada Pinkett Smith’s Red Table Talk is returning to Facebook Watch tomorrow

https://t.co/ddSz55DxQs",2022-04-20T03:00:44.000Z,33,0,0,0
1516612620882698240,982124664657928192,"Liza Minnelli Was ‘Sabotaged’ At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/FxhocHiK71",2022-04-20T03:00:00.000Z,0,0,0,0
1516610295644442628,1049386251042873345,"How should I respond to the #oscarslap in light of Easter?

#liveimmanuel #brokensaintblog https://t.co/uCkCAB76Xk",2022-04-20T02:50:46.000Z,0,0,0,0
1516609949870305282,1140272705075367945,"RT @DeucalionDurden: Le 🌍 entier est une scène 🎬, hommes et femmes, tous…n'y sont que des acteurs…
#HOAX 🎥 👁🔺 #Claque👋 #Fake #Oscars #WillA…",2022-04-20T02:49:23.000Z,1,0,0,0
1516609624572456962,1305432388088913920,"Liza Minnelli Was 'Sabotaged' At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/0A2uqLxGyQ",2022-04-20T02:48:06.000Z,0,0,0,0
1516609451498876932,1437578426416836614,"RT @Phil_Lewis_: Jada Pinkett Smith’s Red Table Talk is returning to Facebook Watch tomorrow

https://t.co/ddSz55DxQs",2022-04-20T02:47:25.000Z,33,0,0,0
1516609246078676992,1293579150352162817,"RT @JustJared: Liza Minnelli's friend Michael Feinstein, who was backstage with her at the #Oscars, says she was ""sabotaged"" before going o…",2022-04-20T02:46:36.000Z,5,0,0,0
1516609072736444421,27112715,"RT @JustJared: Liza Minnelli's friend Michael Feinstein, who was backstage with her at the #Oscars, says she was ""sabotaged"" before going o…",2022-04-20T02:45:54.000Z,5,0,0,0
1516608141890306055,1426594517931732993,"RT @JustJared: Liza Minnelli's friend Michael Feinstein, who was backstage with her at the #Oscars, says she was ""sabotaged"" before going o…",2022-04-20T02:42:12.000Z,5,0,0,0
1516607858472853510,1500680361071849472,Will Smith slaps Chris Rock at the Oscars https://t.co/chhAaDL70B,2022-04-20T02:41:05.000Z,0,0,0,0
1516607858112176131,982124664657928192,"Liza Minnelli Was ‘Sabotaged’ At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/duxi01AyiR",2022-04-20T02:41:05.000Z,0,0,0,0
1516607172112695302,21714246,RT @jehangirmalik: #FeelingBlessed on a beautiful #Ramadan eve with @APPGBritMuslims and inspirational array of #BritishMuslim talent inclu…,2022-04-20T02:38:21.000Z,5,0,0,0
1516606028502093824,19538986,"Liza Minnelli's friend Michael Feinstein, who was backstage with her at the #Oscars, says she was ""sabotaged"" before going on stage to present https://t.co/B5H1qa5vwm",2022-04-20T02:33:49.000Z,5,0,9,3
1516606019572539396,1385292852645699587,"Liza Minnelli Was ‘Sabotaged’ At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/BeJduwcwC2",2022-04-20T02:33:46.000Z,0,0,0,0
1516606015898365953,1488307648001118208,"Liza Minnelli Was ‘Sabotaged’ At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/ILNNv5LAPy",2022-04-20T02:33:46.000Z,0,0,0,0
1516605667703984130,81966762,RT @ELLEmagazine: Dakota Johnson Looked Like a Princess in a Feathered Gucci Gown at the Vanity Fair #Oscars After-Party https://t.co/Pu41S…,2022-04-20T02:32:23.000Z,7,0,0,0
1516605036750585860,2955141350,"Liza Minnelli Was ‘Sabotaged’ At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/DxO76vqpKN",2022-04-20T02:29:52.000Z,0,0,0,0
1516604552673435653,1431886953998258177,"Liza Minnelli 2022 Oscars ceremony was ‘sabotaged’, claims longtime collaborator https://t.co/nu0nDwaEDJ",2022-04-20T02:27:57.000Z,0,0,0,0
1516602800439922698,1455332888,"Liza Minnelli Was 'Sabotaged' At 2022 Oscars Ceremony, Longtime Collaborator Claims - HuffPost The director and production company had no experience for this production and were in way over their heads. Terrible show.  https://t.co/JHR6SjYau2",2022-04-20T02:20:59.000Z,0,0,0,0
1516602074145906691,1464947304264261636,"Liza Minnelli Was ‘Sabotaged’ At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/8LzIlXR090",2022-04-20T02:18:06.000Z,0,0,0,0
1516601538394927107,982124664657928192,"Liza Minnelli Was ‘Sabotaged’ At 2022 Oscars Ceremony, Longtime Collaborator Claims https://t.co/3EAzw1ux8P",2022-04-20T02:15:58.000Z,0,0,0,0
1516601278230679553,1356456879308816385,Oscars 2022: The Academy Cuts 8 Awards From Live Broadcast https://t.co/0NmYP3eHFi,2022-04-20T02:14:56.000Z,0,0,0,0
1516601137100513283,929595077961302021,"One more indication that this year’s years Oscar’s were a fiasco 

She did not want to be in a wheelchair, rather a Director’s Chair.

She has pride and wants to look strong 

https://t.co/0NGlpo6rVd",2022-04-20T02:14:22.000Z,0,0,0,0
1516600219714170883,2891220923,"Will Packer Claims Chris Rock Said Will Could Leave, Rock Sources Say That's a Lie https://t.co/fH262ILC0h via @TMZ",2022-04-20T02:10:44.000Z,0,0,0,0
